local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
23,11,11,1,0.0007879838813096285,98.63481228668942,289,293
76,11,11,1,0.001586014055646956,97.43589743589743,76,78
63,11,11,1,0.002204366261139512,96.28796400449944,856,889
11,11,11,1,0.0015244903042912483,97.05426356589147,626,645
75,11,11,1,0.0012113028205931187,97.08454810495627,666,686
43,11,11,1,0.0014323984505608678,96.81372549019608,395,408
46,11,11,1,0.0027172293048352003,97.1830985915493,690,710
37,11,11,1,0.0015160952461883426,97.55813953488372,839,860
21,11,11,1,0.001190693466924131,97.75641025641025,305,312
35,11,11,1,0.0006395094678737223,98.79759519038076,493,499
